id;registered_date;sex;age;postcode;family_members;family_ages;family_relation;residence_type;residence_rooms;open_spaces;work_previous;work_current;income;negative_economy;covid;covid_residence;physical_activity;valence;input_method
360;2020-04-03 17:53:06+02:00;fem;26-35;18194.0;2;28;partner;apartment;2;no;unemployed;same;0-1000;1;no;no;8+;40.0;App
330;2020-04-03 13:06:14+02:00;fem;26-35;18150.0;3;57,64;parent,parent;apartment;3;yard,balcony;employee;telework;0-1000;0;no;no;2-4;-30.0;App
247;2020-04-02 20:11:58+02:00;fem;26-35;18004.0;2;32;partner;apartment;3;balcony;employee;suspended;1000-2000;1;no;no;0-2;40.0;App
191;2020-04-02 16:15:13+02:00;fem;26-35;41009.0;2;40;partner;apartment;3;yard,balcony;employee;new;0-1000;0;no;no;0-2;20.0;App
14;2020-03-28 19:22:05+01:00;male;46-55;18014.0;1;;;house;;yard,balcony;employee;telework;3000+;0;no;no;2-4;-50.0;Both
9;2020-03-28 19:10:55+01:00;male;26-35;23009.0;2;48;;apartment;2;balcony;employee;same;1000-2000;0;no;no;2-4;-30.0;App
303;2020-04-03 09:30:15+02:00;fem;36-45;18600.0;3;45,3;partner,child;apartment;2;yard,balcony;employee;same;1000-2000;1;no;no;4-6;-40.0;App
121;2020-04-02 12:53:18+02:00;fem;36-45;11012.0;1;;;apartment;1;other;employee;same;1000-2000;1;no;no;6-8;0.0;App
340;2020-04-03 14:50:49+02:00;fem;36-45;18194.0;1;;;house;;yard,balcony;employee;same;1000-2000;0;no;no;0-2;20.0;App
215;2020-04-02 17:21:13+02:00;male;36-45;11100.0;1;;;apartment;3;balcony;employee;telework;1000-2000;0;no;no;2-4;40.0;App
357;2020-04-03 17:15:22+02:00;fem;36-45;33930.0;3;1,1;partner,child;apartment;3;no;employee;same;1000-2000;0;no;no;2-4;40.0;App
127;2020-04-02 13:01:04+02:00;fem;36-45;46008.0;3;1,1;partner,child;apartment;3+;balcony;employee;telework;2000-3000;0;no;no;4-6;0.0;App
